"country","period","periodstart","periodend","code","gdp_growth","gdp_pr_capita","economic_open","budget_balance","inflation","ethnic_frac","assasinations","aid","fast_growing_east_asia","sub_saharan_africa","central_america","policy","m2_gdp_lagged","institutional_quality"
"ARG",2,1970,1973,"ARG2",1.70029997825623,5637,0,-0.0211462993174791,0.34088608622551,0.310000002384186,2.75,0.0182389002293348,0,0,0,0.656556010246277,24.8247604370117,4.28125
"ARG",3,1974,1977,"ARG3",1.0776150226593,6168,0,-0.0691175013780594,0.989959478378296,0.310000002384186,9.75,0.0171555001288652,0,0,0,-0.57926481962204,28.7930393218994,4.28125
"ARG",4,1978,1981,"ARG4",-1.11528503894806,5849,0,-0.03395039960742,0.844831526279449,0.310000002384186,1,0.0239941999316216,0,0,0,-0.135645404458046,30.2345199584961,4.28125
"ARG",5,1982,1985,"ARG5",-2.55138492584229,5487,0,-0.0522027015686035,1.62283599376678,0.310000002384186,0,0.0299629997462034,0,0,0,-1.34829604625702,29.7397708892822,4.28125
"ARG",6,1986,1989,"ARG6",-1.09930598735809,5624,0,-0.0177263002842665,1.60718202590942,0.310000002384186,0.25,0.015727499499917,0,0,0,-1.09041905403137,20.3305492401123,4.28125
"ARG",7,1990,1993,"ARG7",4.25872993469238,4706,0.75,-0.00375910010188818,1.12661898136139,0.310000002384186,0,0.000755999993998557,0,0,0,1.29450404644012,21.7224006652832,4.28125
"BOL",2,1970,1973,"BOL2",1.29728996753693,1661,1,-0.0320682004094124,0.102781496942043,0.680000007152557,0.75,0.861913681030273,0,0,0,3.07128691673279,15.1625499725342,2.27083301544189
"BOL",3,1974,1977,"BOL3",2.96304893493652,1838,1,-0.0517788007855415,0.171517297625542,0.680000007152557,0,0.86658239364624,0,0,0,2.84027004241943,15.7812995910645,2.27083301544189
"BOL",4,1978,1981,"BOL4",-1.48528897762299,2015,0.5,-0.0633672028779984,0.236024603247643,0.680000007152557,0.25,1.1824049949646,0,0,0,1.59246003627777,15.854100227356,2.27083301544189
"BOL",5,1982,1985,"BOL5",-4.31500816345215,1864,0,-0.358082413673401,2.38207507133484,0.680000007152557,0,1.43947994709015,0,0,0,-4.50352191925049,19.0304698944092,2.27083301544189
"BOL",6,1986,1989,"BOL6",-0.647025525569916,1674,1,-0.00401279982179403,0.437778890132904,0.680000007152557,0,3.10754895210266,0,0,0,2.79497289657593,18.1973991394043,2.27083301544189
"BOL",7,1990,1993,"BOL7",1.94947397708893,1658,1,-0.0154793001711369,0.137008994817734,0.680000007152557,0.25,3.34197688102722,0,0,0,3.13698506355286,14.9057302474976,2.27083301544189
"BRA",2,1970,1973,"BRA2",8.58053207397461,2434,0,-0.00289919995702803,0.164498299360275,0.0700000002980232,0,0.0687521994113922,0,0,0,1.02806198596954,18.4395008087158,6.359375
"BRA",3,1974,1977,"BRA3",4.54061508178711,3458,0,-0.000659000012092292,0.302867710590363,0.0700000002980232,0,0.0290182996541262,0,0,0,0.849944412708282,19.1165199279785,6.359375
"BRA",4,1978,1981,"BRA4",1.21548998355865,3886,0,-0.0180590003728867,0.518563985824585,0.0700000002980232,0,0.0158463008701801,0,0,0,0.429279893636703,15.968469619751,6.359375
"BRA",5,1982,1985,"BRA5",0.346333891153336,3968,0,-0.0566755011677742,0.959788024425507,0.0700000002980232,0,0.0134886996820569,0,0,0,-0.451917290687561,13.2591400146484,6.359375
"BRA",6,1986,1989,"BRA6",1.67659199237823,4294,0,-0.141637802124023,1.69418895244598,0.0700000002980232,0.25,0.0085394000634551,0,0,0,-2.06023693084717,11.5992097854614,6.359375
"BRA",7,1990,1993,"BRA7",-2.04862904548645,4042,0.75,-0.0334565006196499,2.65509700775146,0.0700000002980232,1.5,0.0227111000567675,0,0,0,-1.04571294784546,33.7286109924316,6.359375
"BWA",2,1970,1973,"BWA2",13.8992099761963,823,0,-0.146614104509354,NA,0.509999990463257,0,10.3594999313354,0,1,0,NA,NA,7
"BWA",3,1974,1977,"BWA3",6.10659694671631,1362,0,-0.0266542006283998,0.115916900336742,0.509999990463257,0,6.02514600753784,0,1,0,0.933379411697388,NA,7
