country,period,periodstart,periodend,code,bdgdpg,elrgdpg,bdgdp,elrgdp,bdbb,elrbb,bdinfl,elrinfl,bdsacw,elrsacw,bdethnf,elrethnf,bdassas,elrassas,bdicrge,elricrge,bdm21,elrm21,bdssa,elrssa,bddn1900,elrdn1900,bdaid,elraid,bdlpop,elrlpop,bdeasia,elreasia,bdegypt,elregypt,bdcentam,elrcentam,bdfrz,elrfrz,bdarms1,elrarms1,originalcountries,bddatap,bddatao,elrdatabdcos7093bdvarsp,elrdatabdcos7093bdvarso,elrdatabdcos7097bdvarsp,elrdatabdcos7097bdvarso,elrdata7093bdvarsp,elrdata7093bdvarso,elrdata7097bdvarsp,elrdata7097bdvarso
LBY,5,1982,1985,LBY5,-9.861384391784668,-9.2100248336792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,1.7999999523162842,NA,34.07014083862305,0,0,0,NA,NA,NA,NA,15.084489822387695,0,0,NA,0,NA,0,NA,0,NA,0.4365031123161316,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
LBY,6,1986,1989,LBY6,-6.408780097961426,-5.371034145355225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1.7999999523162842,NA,46.734130859375,0,0,0,NA,NA,NA,NA,15.226119995117188,0,0,NA,0,NA,0,NA,0,NA,0.38476720452308655,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
LBY,7,1990,1993,LBY7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1.7999999523162842,NA,67.54869842529297,0,0,0,NA,NA,NA,NA,15.307270050048828,0,0,NA,0,NA,0,NA,0,NA,0.19843000173568726,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
LBY,8,1994,1997,LBY8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1.7999999523162842,NA,NA,NA,0,NA,NA,NA,NA,NA,15.385040283203125,NA,0,NA,0,NA,0,NA,0,NA,0.07384079694747925,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
LCA,1,1966,1969,LCA1,NA,NA,NA,NA,NA,NA,0.029319699853658676,0.029319100081920624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,11.48386001586914,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
LCA,2,1970,1973,LCA2,NA,NA,NA,NA,NA,NA,0.1020698994398117,0.10207059979438782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,11.54697036743164,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
LCA,3,1974,1977,LCA3,NA,NA,NA,NA,NA,NA,0.15872250497341156,0.1587224006652832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,11.600139617919922,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
LCA,4,1978,1981,LCA4,NA,1.8484259843826294,NA,NA,-0.012601899914443493,-0.012603400275111198,0.12795279920101166,0.12795290350914001,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,11.651920318603516,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
LCA,5,1982,1985,LCA5,NA,1.242506980895996,NA,NA,-0.008262299932539463,-0.014880499802529812,0.021461300551891327,0.021461399272084236,NA,NA,NA,NA,NA,0,NA,NA,NA,45.935020446777344,0,0,0,NA,0.37546980381011963,0.8450099229812622,NA,11.712050437927246,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
LCA,6,1986,1989,LCA6,8.402368545532227,7.954584121704102,NA,2539.93505859375,0.006688700057566166,0.008113900199532509,0.035084400326013565,0.03508419916033745,NA,NA,NA,NA,NA,0,NA,NA,NA,54.00885009765625,0,0,0,NA,2.4578309059143066,1.884395956993103,NA,11.770919799804688,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
LCA,7,1990,1993,LCA7,2.435746908187866,7.43935489654541,NA,3913.0859375,-0.001021499978378415,0.009315700270235538,0.03986410051584244,0.0405627004802227,NA,NA,NA,NA,NA,0,NA,NA,NA,65.630096435546875,0,0,0,NA,2.613924026489258,1.7751330137252808,NA,11.826080322265625,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
LCA,8,1994,1997,LCA8,NA,-0.008193300105631351,NA,4473.31982421875,NA,NA,NA,0.025021400302648544,NA,NA,NA,NA,NA,0,NA,NA,NA,58.839019775390625,NA,0,NA,NA,NA,2.91884708404541,NA,11.892680168151855,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
LKA,1,1966,1969,LKA1,3.909203052520752,3.83247709274292,1198,1198,-0.06242720037698746,-0.06557759642601013,0.03724290058016777,0.03724290058016777,0,0,NA,0.4699999988079071,NA,0,NA,4.766666889190674,NA,25.080780029296875,0,0,0,0,NA,NA,NA,16.28721046447754,0,0,NA,0,NA,0,NA,0,NA,0,1,0.7985063195228577,0,1.0912710428237915,NA,1.17494797706604,NA,0.986372172832489,NA,1.115906000137329,NA
LKA,2,1970,1973,LKA2,1.1937819719314575,1.2728769779205322,1243,1243,-0.06913600116968155,-0.06599529832601547,0.05919789895415306,0.05919710174202919,0,0,0.4699999988079071,0.4699999988079071,0,0,4.325520992279053,4.766666889190674,26.318700790405273,24.025360107421875,0,0,0,0,0.6860721111297607,0.5335903763771057,16.367570877075195,16.362340927124023,0,0,0,0,0,0,0,0,0,6.24299980700016e-4,1,0.7218893766403198,0,1.048902988433838,0,1.1317440271377563,0,0.945216715335846,0,1.0719629526138306,0
LKA,3,1974,1977,LKA3,2.936933994293213,2.9803900718688965,1297,1297,-0.05641220137476921,-0.05641220137476921,0.05139090120792389,0.051392100751399994,0,0,0.4699999988079071,0.4699999988079071,0,0,4.325520992279053,4.766666889190674,24.033700942993164,22.995370864868164,0,0,0,0,0.9759073853492737,0.8169677257537842,16.434650421142578,16.426130294799805,0,0,0,0,0,0,0,0,1.9500000476837158,0.025920400395989418,1,0.819898784160614,0,1.0758090019226074,0,1.1744519472122192,0,1.001109004020691,0,1.1434320211410522,0
LKA,4,1978,1981,LKA4,3.923569917678833,4.0192461013793945,1497,1497,-0.13767999410629272,-0.13767999410629272,0.15351299941539764,0.15351270139217377,1,1,0.4699999988079071,0.4699999988079071,0,0,4.325520992279053,4.766666889190674,20.622800827026367,18.786779403686523,0,0,0,0,1.3404560089111328,1.2160120010375977,16.50295066833496,16.495990753173828,0,0,0,0,0,0,0,0,0.42500001192092896,0.004295600112527609,1,2.277446985244751,0,3.247364044189453,0,2.553617000579834,0,2.6482999324798584,0,1.928130030632019,0
LKA,5,1982,1985,LKA5,3.7420270442962646,3.340219020843506,1792,1792,-0.10081689804792404,-0.10267789661884308,0.10052909702062607,0.10052879899740219,0.25,0.5,0.4699999988079071,0.4699999988079071,0.5,0.5,4.325520992279053,4.766666889190674,30.206880569458008,26.697189331054688,0,0,0,0,1.3447610139846802,1.1896519660949707,16.570240020751953,16.556909561157227,0,0,0,0,0,0,0,0,0.30000001192092896,0.0029380000196397305,1,0.9863998293876648,0,2.1581830978393555,0,1.8513879776000977,0,1.8035199642181396,0,1.5060780048370361,0
