country,year,fdi_inflow,bits,ln_gdp_pr_cap,ln_population,economic_growth,inflation,resource_rent,bilateral_trade_agreements,wto_member,polcon3
Afghanistan,1960,NA,0,NA,16.11809539794922,NA,NA,NA,0,0,0
Afghanistan,1961,NA,0,NA,16.11809539794922,NA,1.1299999952316284,NA,0,0,0
Afghanistan,1962,NA,0,NA,16.11809539794922,NA,-2.059999942779541,NA,0,0,0
Afghanistan,1963,NA,0,NA,16.21340560913086,NA,34.97999954223633,NA,0,0,0
Afghanistan,1964,NA,0,NA,16.21340560913086,NA,4.400000095367432,NA,0,0,0
Afghanistan,1965,NA,0,NA,16.21340560913086,NA,23.25,NA,0,0,0
Afghanistan,1966,NA,0,NA,16.21340560913086,NA,37.58000183105469,NA,0,0,0
Afghanistan,1967,NA,0,NA,16.300416946411133,NA,16.190000534057617,NA,0,0,0
Afghanistan,1968,NA,0,NA,16.300416946411133,NA,-20.690000534057617,NA,0,0,0
Afghanistan,1969,-0.2027633935213089,0,NA,16.300416946411133,NA,1,NA,0,0,0
Afghanistan,1970,0.4188879430294037,0,NA,16.300416946411133,NA,21.709999084472656,1.399999976158142,0,0,0
Afghanistan,1971,-0.7288361191749573,0,NA,16.380460739135742,NA,9.949999809265137,1.2999999523162842,0,0,0
Afghanistan,1972,-0.18170399963855743,0,NA,16.380460739135742,NA,-11.25,1.5,0,0,0
Afghanistan,1973,NA,0,NA,16.380460739135742,NA,-2.450000047683716,1.399999976158142,0,0,0
Afghanistan,1974,NA,0,NA,16.454566955566406,NA,15.460000038146973,1.2999999523162842,0,0,0
Afghanistan,1975,-2.3214070796966553,0,NA,16.454566955566406,NA,6.599999904632568,2,0,0,0
Afghanistan,1976,0,0,NA,16.454566955566406,NA,1.590000033378601,2.4000000953674316,0,0,0
Afghanistan,1977,NA,0,NA,16.523561477661133,NA,11.619999885559082,3.4000000953674316,0,0,0
Afghanistan,1978,0.8940402269363403,0,NA,16.523561477661133,NA,7.340000152587891,2.5999999046325684,0,0,0
Afghanistan,1979,2.828524112701416,0,NA,16.588098526000977,NA,9.8100004196167,2.9000000953674316,0,0,0
Afghanistan,1980,-1.1714495420455933,0,NA,16.588098526000977,NA,2.5199999809265137,6,0,0,0
Afghanistan,1981,-1.8484549522399902,0,NA,16.588098526000977,NA,4.369999885559082,7.800000190734863,0,0,0
Afghanistan,1982,NA,0,NA,16.588098526000977,NA,NA,NA,0,0,0
Afghanistan,1983,NA,0,NA,16.588098526000977,NA,NA,NA,0,0,0
Afghanistan,1984,NA,0,NA,16.588098526000977,NA,NA,NA,0,0,0
Afghanistan,1985,NA,0,NA,16.588098526000977,NA,NA,NA,0,0,0
Afghanistan,1986,-0.6511526703834534,0,NA,16.588098526000977,NA,NA,NA,0,0,0
Afghanistan,1987,NA,0,NA,16.648723602294922,NA,NA,NA,0,0,0
Afghanistan,1988,NA,0,NA,16.648723602294922,NA,NA,NA,0,0,0
Afghanistan,1989,NA,0,NA,16.648723602294922,NA,NA,NA,0,0,0
