"idno","gender","age","income_decile","income_feel","ppl_take_advantage","ppl_mostly_helpful","trust_legal","trust_police","trust_politicians","trust_ep","trust_un","trust_polparties","trust_parliament","satisfied_government","satisfied_democracy","satisfied_economy"
6286,1,63,8,1,7,6,8,8,7,NA,5,6,7,1,8,10
6361,1,61,3,4,8,8,2,7,1,0,0,1,2,5,5,7
6377,2,87,NA,1,9,9,9,8,8,NA,8,7,10,5,9,9
6415,2,29,3,2,7,7,4,2,5,5,6,4,4,4,6,4
6430,2,42,2,2,7,5,9,7,5,6,9,5,8,5,6,9
6444,1,46,NA,1,8,8,5,8,6,6,7,6,6,7,7,8
6473,2,57,5,1,7,6,7,8,5,5,8,5,7,1,6,7
6560,1,47,6,2,8,8,5,7,5,5,5,5,5,5,NA,7
6724,1,59,8,1,8,7,6,7,7,NA,7,7,4,7,7,9
6765,1,67,6,1,8,7,9,9,5,6,9,6,7,3,5,7
6784,2,26,9,2,8,8,10,10,7,8,9,7,9,4,7,6
6787,1,35,10,1,4,6,10,7,4,6,8,4,7,8,10,8
6906,1,55,1,2,8,9,8,10,5,6,10,6,7,7,6,5
6923,2,42,7,1,9,7,8,7,6,6,8,6,7,6,8,9
6932,2,42,6,2,7,10,9,5,5,NA,5,5,7,8,9,7
6934,1,19,10,2,7,5,6,4,5,8,3,7,10,3,10,5
6993,1,46,10,1,5,7,8,8,3,NA,5,3,2,2,5,7
7052,1,50,5,2,8,7,7,8,6,6,7,5,7,5,7,6
7082,2,16,9,1,6,2,8,9,2,5,8,2,4,2,6,5
7153,2,26,NA,2,5,4,8,4,3,7,6,6,2,4,4,3
7270,2,48,10,1,8,6,9,6,6,7,8,6,8,8,9,9
7334,1,68,4,1,8,8,8,9,7,6,7,8,8,9,9,9
7360,2,60,6,1,10,9,10,10,9,6,9,7,10,5,10,10
7431,2,44,4,1,7,8,9,9,5,NA,7,6,8,3,8,8
7482,1,47,6,1,9,9,10,10,3,3,5,3,7,3,9,10
7493,2,35,10,1,9,8,8,8,7,5,6,7,8,3,8,8
7507,2,41,5,2,7,7,8,8,7,8,8,7,7,7,8,9
7532,1,26,NA,1,6,7,6,8,4,4,8,5,5,2,6,5
7539,1,54,7,1,6,4,8,7,8,6,6,8,8,8,8,8
7651,2,36,1,2,7,1,6,4,5,0,5,6,5,5,4,5
7762,1,47,3,2,9,7,0,6,1,4,5,1,2,2,2,8
7781,1,67,3,1,6,4,6,8,5,6,8,5,9,6,8,10
7863,2,32,6,2,8,7,10,10,7,8,10,7,9,6,10,9
7880,1,74,2,1,8,7,10,8,7,7,8,7,10,6,8,10
7900,1,34,6,2,7,5,7,5,7,7,9,7,8,4,9,8
8105,1,76,NA,1,5,5,9,10,4,5,3,1,10,8,6,8
8172,1,39,6,1,6,6,7,7,6,5,6,5,7,7,7,8
8222,1,88,2,1,7,8,9,9,8,8,10,7,8,7,10,5
8226,1,69,7,1,6,5,10,9,8,5,6,8,10,6,7,9
8247,2,37,8,1,8,4,9,7,6,8,9,7,8,4,8,7
8285,2,NA,2,2,7,6,9,10,6,3,6,6,7,7,9,4
8286,1,21,1,4,7,6,8,10,7,8,8,7,9,8,8,5
8315,1,41,6,1,7,5,8,9,5,9,9,8,9,6,10,8
8346,1,56,7,2,5,3,4,6,2,1,4,2,3,6,6,7
8357,2,51,5,1,4,5,NA,6,NA,1,10,7,5,10,5,10
8432,2,41,10,1,8,5,8,8,6,5,7,6,6,5,7,4
8455,2,18,3,1,5,4,5,3,3,NA,3,3,5,4,9,6
8462,1,24,6,2,7,1,7,5,2,5,5,2,5,2,2,5
8477,2,73,3,1,5,8,10,8,5,6,8,5,10,8,8,10
8528,1,76,1,4,10,5,5,10,5,5,10,5,10,3,10,7
8534,1,48,8,1,8,4,6,7,4,NA,NA,3,6,5,8,8
8563,1,61,6,1,9,9,8,9,6,6,7,6,9,7,9,9
8571,1,84,3,1,7,7,5,4,5,NA,NA,5,2,6,6,6
8719,1,16,NA,1,NA,7,10,10,7,5,9,6,10,7,9,NA
8755,1,30,8,1,5,3,9,6,5,5,8,5,6,5,10,9
8887,2,47,7,3,8,6,7,7,7,NA,NA,7,6,5,7,5
8903,1,60,6,2,5,2,8,8,3,6,2,4,8,7,7,8
8948,1,17,6,1,6,3,0,0,0,NA,0,0,0,0,0,NA
9007,1,46,10,1,8,6,9,8,4,3,9,5,8,8,6,9
9143,2,48,4,1,4,6,8,8,7,NA,7,7,6,7,8,8
9149,2,59,7,1,8,7,9,8,7,7,8,6,8,4,7,8
9159,1,86,2,1,5,3,3,8,3,7,7,3,5,8,5,8
9180,2,52,5,2,5,7,6,9,6,6,7,5,10,8,9,8
9265,1,22,NA,1,6,5,8,8,0,0,1,0,3,2,0,6
9407,2,32,NA,2,4,4,8,7,4,NA,8,3,5,6,7,9
9441,2,38,3,1,7,4,8,9,6,7,8,6,8,8,10,8
9670,1,79,2,2,8,7,10,8,5,NA,10,0,8,2,5,5
9680,1,18,4,1,7,8,8,7,7,NA,9,7,8,7,8,8
9696,1,72,4,1,8,6,6,3,2,NA,6,1,0,2,5,4
9765,1,25,2,2,5,5,5,7,1,NA,5,1,5,3,5,5
9858,1,58,2,2,8,5,8,8,6,NA,8,6,6,7,9,7
9899,1,15,NA,2,10,8,10,10,10,10,10,10,10,9,9,9
9976,1,21,6,1,6,8,7,6,4,3,4,5,7,6,4,7
10020,1,17,3,2,7,8,NA,8,4,NA,7,5,7,4,8,7
10117,1,53,7,1,8,7,10,10,8,8,9,8,8,7,9,9
10172,2,38,10,1,7,7,8,6,7,5,8,7,8,6,8,8
10252,2,81,5,2,9,7,9,9,5,6,6,5,5,7,8,9
10273,2,66,10,1,8,7,10,7,9,7,9,9,10,10,7,8
10377,1,49,3,2,7,4,8,10,6,2,0,6,8,7,6,8
10497,2,45,2,1,7,4,8,9,3,NA,4,3,5,3,5,6
10571,1,32,7,1,9,6,6,8,4,9,9,3,8,4,5,8
10817,1,32,9,1,8,3,9,6,6,9,8,6,7,7,7,9
