"idno","cntry","country","gender","age","income_feel","income_decile","trust_parl","trust_legalsys","trust_police","trust_politicians","trust_polparties","trust_eurparl","trust_unitednations"
178,"AT","Austria","female",33,2,3,5,8,8,4,4,5,6
179,"AT","Austria","male",48,2,8,7,5,5,2,3,7,9
185,"AT","Austria","male",42,2,7,3,6,8,4,3,1,3
186,"AT","Austria","female",59,2,NA,4,2,5,3,4,3,3
187,"AT","Austria","male",84,3,4,3,3,6,2,2,1,0
188,"AT","Austria","male",36,2,6,4,6,4,2,4,4,4
189,"AT","Austria","male",67,1,6,5,8,5,4,4,5,NA
190,"AT","Austria","male",74,2,4,5,6,7,3,3,NA,NA
191,"AT","Austria",NA,58,2,6,4,5,6,2,2,3,3
197,"AT","Austria","male",64,2,5,2,3,3,1,1,0,1
198,"AT","Austria",NA,24,1,2,5,5,7,5,5,5,6
199,"AT","Austria","female",30,3,1,1,4,8,0,0,0,3
200,"AT","Austria","male",75,1,2,8,9,8,8,9,9,8
201,"AT","Austria","female",72,2,1,2,1,8,1,1,0,2
202,"AT","Austria","male",33,2,2,2,4,8,2,2,1,1
209,"AT","Austria",NA,30,2,5,9,7,9,6,0,0,10
210,"AT","Austria",NA,33,1,6,5,4,4,9,9,9,8
211,"AT","Austria",NA,36,1,3,6,9,NA,0,0,0,4
212,"AT","Austria",NA,30,2,5,5,6,8,2,0,3,7
217,"AT","Austria",NA,33,2,6,3,6,6,2,2,2,0
218,"AT","Austria","female",42,1,5,7,6,6,3,2,5,8
219,"AT","Austria",NA,49,3,2,5,8,8,0,2,0,0
220,"AT","Austria",NA,25,1,3,4,4,4,3,3,2,3
221,"AT","Austria",NA,75,2,4,2,0,7,0,0,0,0
229,"AT","Austria",NA,29,2,4,10,10,10,9,8,7,9
230,"AT","Austria","male",39,2,4,9,9,8,9,7,7,8
231,"AT","Austria",NA,26,2,4,10,9,8,10,10,9,8
232,"AT","Austria","male",54,2,4,10,10,8,8,8,7,9
233,"AT","Austria","male",36,1,5,9,9,8,10,7,8,8
234,"AT","Austria",NA,41,2,5,9,9,9,8,8,8,8
