"idno","cntry","country","gender","age","income_feel","income_decile","trust_parl","trust_legalsys","trust_police","trust_politicians","trust_polparties","trust_eurparl","trust_unitednations"
131303,"BE","Belgium","female",50,2,6,4,5,7,4,4,5,5
131304,"BE","Belgium",NA,56,2,NA,6,5,6,0,0,1,NA
131306,"BE","Belgium","male",21,1,9,7,7,6,8,8,7,5
131308,"BE","Belgium","female",44,3,6,1,5,5,1,0,5,5
131401,"BE","Belgium",NA,50,2,4,7,7,8,6,7,6,7
131403,"BE","Belgium","female",29,1,7,2,4,6,5,3,3,3
131406,"BE","Belgium","female",22,1,NA,2,3,4,2,2,2,2
131407,"BE","Belgium","female",63,2,1,7,5,5,4,8,8,9
131408,"BE","Belgium",NA,73,2,4,8,5,5,7,7,8,8
131501,"BE","Belgium","male",23,2,3,2,4,7,4,4,4,4
131503,"BE","Belgium","female",45,1,5,5,5,7,5,5,5,5
131505,"BE","Belgium","female",52,1,6,3,6,7,3,3,3,3
131506,"BE","Belgium","female",38,1,4,5,7,7,4,3,7,6
131508,"BE","Belgium","male",57,2,8,5,3,8,5,5,5,5
131608,"BE","Belgium","male",80,2,3,5,4,8,3,3,8,8
131609,"BE","Belgium",NA,60,2,5,6,5,7,7,7,7,8
131701,"BE","Belgium","female",75,2,4,1,0,6,3,3,3,3
131702,"BE","Belgium","female",26,1,7,5,5,5,5,5,5,5
131703,"BE","Belgium","male",58,2,4,8,6,6,4,3,1,1
131704,"BE","Belgium",NA,65,1,5,2,3,4,5,2,2,2
131705,"BE","Belgium","female",33,1,9,5,5,6,5,5,5,6
131706,"BE","Belgium","female",39,2,8,7,7,6,7,6,7,7
131707,"BE","Belgium","female",16,1,8,7,7,6,8,8,7,6
131708,"BE","Belgium","female",51,1,7,6,6,7,7,5,6,6
131801,"BE","Belgium",NA,77,4,3,6,5,6,5,5,5,5
131802,"BE","Belgium",NA,66,2,5,7,7,8,6,6,8,9
131803,"BE","Belgium","male",47,1,8,4,4,6,4,4,2,2
131804,"BE","Belgium","male",53,1,7,4,4,6,4,6,5,5
131805,"BE","Belgium",NA,33,1,9,5,5,7,5,5,5,5
131806,"BE","Belgium","male",17,1,NA,1,5,5,5,7,5,7
131807,"BE","Belgium","female",40,2,3,5,5,5,5,5,5,5
131808,"BE","Belgium",NA,59,1,9,5,5,5,5,6,6,6
131809,"BE","Belgium","male",25,2,7,5,6,9,4,4,4,7
131901,"BE","Belgium","female",64,1,7,5,7,7,5,5,3,6
131903,"BE","Belgium","female",73,2,3,4,4,7,5,4,4,5
131907,"BE","Belgium","male",52,2,2,5,3,5,7,7,5,5
131908,"BE","Belgium",NA,58,1,10,4,4,6,6,7,7,7
132001,"BE","Belgium","male",29,2,6,4,7,7,4,4,5,6
132002,"BE","Belgium","male",73,1,4,5,5,6,3,3,3,2
132003,"BE","Belgium","male",50,2,5,3,2,4,2,2,3,2
132004,"BE","Belgium","female",44,2,8,5,7,7,3,3,5,7
132005,"BE","Belgium",NA,63,1,8,6,5,6,5,5,6,6
132006,"BE","Belgium",NA,86,2,3,7,6,8,5,4,7,7
132007,"BE","Belgium","female",56,2,3,5,3,9,5,5,5,5
132008,"BE","Belgium","male",22,1,6,7,5,9,5,6,8,9
132009,"BE","Belgium","female",37,1,7,3,3,5,5,5,3,2
132101,"BE","Belgium","female",36,1,6,7,7,8,6,6,7,7
132105,"BE","Belgium","male",70,1,6,7,3,7,6,5,4,4
132106,"BE","Belgium","female",50,1,4,5,6,6,5,6,6,6
132107,"BE","Belgium",NA,22,1,NA,5,3,7,2,2,2,2
132201,"BE","Belgium","female",48,2,5,4,4,7,5,5,6,7
132202,"BE","Belgium","male",67,1,5,2,2,3,2,3,3,3
132203,"BE","Belgium","female",54,1,5,1,2,5,1,1,1,1
132205,"BE","Belgium",NA,24,2,7,3,1,6,3,3,1,0
132206,"BE","Belgium","male",42,1,9,7,8,8,7,6,5,7
132208,"BE","Belgium","male",60,2,7,4,2,8,2,2,2,2
132301,"BE","Belgium","male",28,2,6,7,3,6,4,4,8,2
132302,"BE","Belgium","female",21,2,7,7,6,8,8,7,7,8
132303,"BE","Belgium","female",35,2,5,5,7,8,6,6,5,4
132305,"BE","Belgium","male",43,1,7,5,3,3,4,5,4,7
132306,"BE","Belgium","female",70,2,4,3,3,7,3,4,4,5
132308,"BE","Belgium","female",61,1,3,3,3,6,3,3,0,8
132309,"BE","Belgium",NA,83,1,4,6,3,10,7,8,7,5
132401,"BE","Belgium",NA,58,1,5,0,2,1,0,2,0,0
132402,"BE","Belgium","male",52,1,NA,2,4,2,2,5,2,2
132405,"BE","Belgium","female",17,1,NA,6,8,7,5,5,7,6
132406,"BE","Belgium","male",39,4,2,0,0,0,0,0,0,0
132407,"BE","Belgium","female",65,2,2,5,6,8,6,5,7,7
132408,"BE","Belgium","female",25,1,7,6,6,7,6,6,7,7
132501,"BE","Belgium","female",32,2,5,0,5,7,0,0,0,5
132503,"BE","Belgium","male",46,1,10,8,6,5,7,5,8,9
132505,"BE","Belgium",NA,39,2,3,6,7,7,6,6,7,6
132507,"BE","Belgium","female",65,1,9,3,0,0,3,3,2,2
132508,"BE","Belgium","male",77,2,5,6,4,6,5,7,4,4
132601,"BE","Belgium","male",75,1,5,7,5,7,6,6,7,8
132602,"BE","Belgium","male",52,1,8,6,1,5,3,3,2,0
132603,"BE","Belgium","female",24,2,NA,8,6,8,8,6,8,8
132604,"BE","Belgium","female",46,4,NA,6,4,4,4,0,0,2
132605,"BE","Belgium","male",39,2,8,6,6,7,7,6,5,7
132608,"BE","Belgium","male",65,2,2,3,1,4,2,1,3,5
132701,"BE","Belgium","male",33,1,10,7,9,9,5,5,5,5
132702,"BE","Belgium","female",59,1,9,7,3,7,6,4,6,6
132707,"BE","Belgium","female",66,1,7,3,2,4,1,1,3,4
132708,"BE","Belgium","male",25,1,10,6,7,7,5,5,7,7
132709,"BE","Belgium",NA,47,2,9,4,4,5,3,2,1,1
132801,"BE","Belgium","male",69,3,3,3,3,6,4,5,3,1
132802,"BE","Belgium","female",55,1,10,8,7,7,6,6,7,5
132803,"BE","Belgium",NA,79,3,NA,0,3,2,1,1,1,1
132804,"BE","Belgium","male",28,1,10,4,6,8,2,4,5,5
132806,"BE","Belgium","male",19,1,5,7,6,7,5,4,6,6
132807,"BE","Belgium","female",43,1,8,7,7,8,5,4,6,6
132808,"BE","Belgium",NA,36,3,6,1,8,8,2,2,2,2
132809,"BE","Belgium","female",49,3,4,7,7,7,7,4,2,2
132901,"BE","Belgium","male",57,1,7,5,5,5,5,5,5,5
132903,"BE","Belgium","female",38,2,8,4,2,4,3,2,2,5
132904,"BE","Belgium","female",22,1,10,7,6,5,5,5,7,8
132907,"BE","Belgium","male",45,1,10,3,4,5,4,4,6,5
132908,"BE","Belgium","female",85,3,9,2,2,7,2,2,2,2
132909,"BE","Belgium","male",64,1,NA,5,5,5,2,2,2,5
133004,"BE","Belgium","female",61,2,5,7,5,8,8,5,6,5
133006,"BE","Belgium","male",26,4,1,4,6,2,2,2,4,4
133008,"BE","Belgium","male",49,2,5,2,2,5,1,1,1,1
133009,"BE","Belgium",NA,68,2,6,2,0,1,1,1,1,1
133101,"BE","Belgium","male",50,1,8,3,5,3,2,3,6,5
133103,"BE","Belgium",NA,71,2,2,8,8,8,8,8,8,8
133104,"BE","Belgium",NA,56,2,1,6,4,6,5,7,6,7
133105,"BE","Belgium",NA,23,2,4,5,1,7,5,5,5,5
133106,"BE","Belgium",NA,63,2,2,0,5,8,0,2,2,0
133107,"BE","Belgium",NA,38,2,4,6,6,7,6,6,5,6
133109,"BE","Belgium","male",45,2,7,8,7,8,7,6,6,8
133201,"BE","Belgium","male",49,2,4,4,4,8,4,3,4,5
133202,"BE","Belgium",NA,43,3,5,0,0,6,0,0,0,0
133204,"BE","Belgium",NA,35,4,3,2,2,4,5,5,4,4
133208,"BE","Belgium","female",21,1,7,0,3,5,3,1,7,7
133301,"BE","Belgium","male",52,2,6,3,8,8,4,4,4,5
133302,"BE","Belgium","female",68,2,5,0,5,5,0,0,3,7
133303,"BE","Belgium","male",81,3,5,4,2,8,6,6,7,8
133304,"BE","Belgium","male",59,3,4,1,5,6,3,4,6,6
133307,"BE","Belgium","female",46,3,8,3,7,7,3,3,3,3
133308,"BE","Belgium","male",19,2,3,6,8,8,7,6,7,9
133309,"BE","Belgium","female",40,3,3,6,4,7,3,4,5,6
133406,"BE","Belgium",NA,15,2,8,5,8,8,5,5,8,5
133407,"BE","Belgium",NA,49,2,5,9,8,7,8,5,9,10
133409,"BE","Belgium","female",23,2,10,4,1,7,1,2,6,7
133501,"BE","Belgium",NA,85,4,3,1,8,8,2,5,6,NA
133502,"BE","Belgium","male",68,3,2,7,3,8,6,7,6,7
133503,"BE","Belgium","female",59,4,8,10,7,10,10,NA,NA,NA
133504,"BE","Belgium","female",33,1,9,7,8,8,4,6,8,8
133505,"BE","Belgium","female",52,2,5,0,0,2,0,0,0,1
133506,"BE","Belgium","male",46,3,8,4,4,6,4,4,5,5
133509,"BE","Belgium","male",20,2,NA,7,6,8,6,7,9,5
133601,"BE","Belgium","female",61,2,7,6,5,6,5,4,6,7
133602,"BE","Belgium","female",20,1,7,4,4,5,4,4,4,3
133604,"BE","Belgium",NA,70,4,2,0,2,0,0,3,3,3
133606,"BE","Belgium","female",53,3,5,6,4,6,6,6,7,7
133607,"BE","Belgium","male",84,2,5,2,2,5,3,2,6,0
133608,"BE","Belgium","female",40,4,4,3,6,6,2,2,2,3
133609,"BE","Belgium","male",34,2,7,7,7,7,5,7,5,5
133701,"BE","Belgium","female",16,1,6,5,4,5,5,5,5,6
133703,"BE","Belgium","female",75,2,4,2,0,7,5,5,5,5
133707,"BE","Belgium","male",39,4,6,0,1,1,0,0,0,0
133709,"BE","Belgium","male",65,3,2,8,9,9,8,5,8,8
133801,"BE","Belgium","male",26,2,7,5,5,5,5,5,5,5
133802,"BE","Belgium",NA,80,4,1,7,9,9,5,5,6,NA
133804,"BE","Belgium","male",61,2,4,5,8,8,5,2,0,5
133806,"BE","Belgium","female",55,1,9,4,3,7,7,3,5,7
133807,"BE","Belgium","female",18,3,1,7,8,4,2,5,6,7
133809,"BE","Belgium","male",49,1,8,8,8,8,8,8,8,8
133901,"BE","Belgium","female",53,2,7,5,8,8,0,0,NA,NA
133902,"BE","Belgium",NA,80,4,2,3,1,3,5,2,4,4
133903,"BE","Belgium",NA,47,3,5,0,0,5,0,0,0,0
133904,"BE","Belgium","female",19,2,2,2,3,4,3,3,3,NA
133905,"BE","Belgium","male",33,2,7,7,7,8,6,6,5,5
133908,"BE","Belgium","male",67,3,4,5,4,7,7,3,3,3
133909,"BE","Belgium","female",59,2,4,6,4,4,3,3,6,7
134001,"BE","Belgium",NA,27,3,5,7,6,8,5,6,8,8
134002,"BE","Belgium","female",44,2,9,3,2,7,1,1,0,6
134003,"BE","Belgium","male",50,4,3,2,0,8,3,2,1,2
134005,"BE","Belgium","female",71,4,4,3,6,6,3,5,0,1
134006,"BE","Belgium","male",85,1,10,4,4,4,0,2,5,6
134007,"BE","Belgium","male",36,2,8,3,6,7,3,3,6,7
134008,"BE","Belgium","male",20,4,1,5,0,0,5,5,5,7
134009,"BE","Belgium","male",63,2,8,10,10,8,5,0,10,10
134101,"BE","Belgium","male",68,2,8,7,8,8,6,7,7,8
134102,"BE","Belgium","female",20,2,NA,5,7,5,3,3,5,6
134103,"BE","Belgium","female",53,2,7,5,5,6,4,5,4,6
134105,"BE","Belgium","male",27,3,8,5,7,7,3,3,4,6
134106,"BE","Belgium","male",41,3,9,5,5,8,2,5,5,5
134107,"BE","Belgium","female",35,3,6,4,3,6,2,3,4,6
134108,"BE","Belgium","male",47,2,7,5,7,7,2,2,7,8
134109,"BE","Belgium","male",60,2,6,0,0,6,0,0,0,0
134201,"BE","Belgium","female",83,3,2,1,5,7,1,1,2,0
134203,"BE","Belgium","female",26,1,7,3,6,2,2,2,5,2
134206,"BE","Belgium","female",69,2,3,7,8,9,5,5,9,7
134208,"BE","Belgium","male",54,2,4,7,7,8,5,6,8,8
134209,"BE","Belgium","male",20,1,NA,6,5,7,4,4,5,6
134301,"BE","Belgium","female",44,3,4,5,4,5,4,4,3,NA
134302,"BE","Belgium","male",51,2,6,6,7,6,6,5,3,3
134303,"BE","Belgium",NA,37,2,10,6,6,7,6,5,0,0
134304,"BE","Belgium","male",57,3,3,3,5,5,3,2,0,0
134307,"BE","Belgium","male",65,3,4,3,2,7,1,1,3,4
134308,"BE","Belgium",NA,23,2,5,3,3,3,2,5,5,5
134309,"BE","Belgium","male",16,1,NA,6,4,8,2,3,6,9
134401,"BE","Belgium",NA,57,2,8,6,7,6,5,8,8,8
134402,"BE","Belgium","male",64,1,7,4,5,6,3,2,3,5
134404,"BE","Belgium","female",45,1,8,4,4,4,3,3,4,4
134405,"BE","Belgium","male",32,2,10,6,8,9,3,3,4,4
134406,"BE","Belgium","female",51,3,6,3,3,3,2,2,3,3
134407,"BE","Belgium","female",17,1,7,6,5,7,5,7,7,7
134409,"BE","Belgium","female",74,2,3,1,1,1,1,1,1,1
134501,"BE","Belgium",NA,83,2,3,2,5,8,2,5,6,7
134502,"BE","Belgium","female",54,2,5,0,0,0,5,5,0,0
134503,"BE","Belgium","male",60,1,10,7,4,6,2,0,3,5
134505,"BE","Belgium","female",20,1,NA,5,7,7,5,5,5,5
134506,"BE","Belgium","female",48,2,8,3,1,3,0,1,0,0
134507,"BE","Belgium","female",68,2,4,7,4,4,6,8,8,8
134509,"BE","Belgium","female",42,2,9,6,8,8,7,5,4,5
134604,"BE","Belgium","female",53,3,2,1,3,5,0,1,1,6
134605,"BE","Belgium","male",60,2,9,0,0,4,0,0,0,0
134606,"BE","Belgium","female",89,2,1,6,7,7,6,4,7,7
134608,"BE","Belgium","female",21,2,7,5,7,7,3,3,5,5
134704,"BE","Belgium","female",52,3,2,0,3,4,1,1,1,1
134705,"BE","Belgium","female",58,2,10,5,5,7,6,5,4,7
134707,"BE","Belgium","male",33,2,9,6,5,6,6,6,6,7
134708,"BE","Belgium","female",18,2,7,3,4,6,1,1,6,5
134801,"BE","Belgium","male",26,2,7,4,5,5,3,2,6,6
134802,"BE","Belgium",NA,82,3,5,0,5,5,0,0,0,0
134803,"BE","Belgium","male",61,3,3,3,2,4,0,0,5,7
134804,"BE","Belgium","male",68,2,7,0,5,5,0,0,0,4
134805,"BE","Belgium","female",20,2,8,6,6,5,4,4,6,7
134807,"BE","Belgium","female",47,3,5,3,4,5,1,1,3,5
134808,"BE","Belgium","female",40,1,7,4,2,5,5,3,5,4
134809,"BE","Belgium","male",32,3,4,5,6,6,3,3,6,6
134901,"BE","Belgium","female",29,3,2,6,6,6,6,6,6,5
134904,"BE","Belgium","female",51,3,9,4,5,6,0,0,5,0
134907,"BE","Belgium","female",75,2,6,8,8,9,8,8,8,8
134908,"BE","Belgium","female",65,3,9,2,4,5,2,2,5,3
134909,"BE","Belgium",NA,36,3,6,8,6,6,6,3,5,3
135001,"BE","Belgium","female",40,3,6,0,7,3,3,3,5,7
135002,"BE","Belgium",NA,19,3,9,3,5,5,1,1,5,7
135005,"BE","Belgium","male",67,1,7,7,5,7,5,7,3,10
135007,"BE","Belgium",NA,60,1,10,4,3,5,2,2,2,2
135008,"BE","Belgium","male",80,3,5,1,4,3,3,2,2,3
135101,"BE","Belgium","female",29,1,7,3,0,4,1,1,1,0
135102,"BE","Belgium","female",49,2,6,2,0,0,0,0,2,4
135106,"BE","Belgium",NA,55,2,3,0,5,0,0,0,0,0
135107,"BE","Belgium","female",43,4,8,4,5,5,2,2,2,5
135109,"BE","Belgium",NA,71,2,4,2,4,5,2,1,3,5
135201,"BE","Belgium","male",45,1,10,4,7,6,3,3,2,5
135202,"BE","Belgium","female",59,2,9,7,8,7,5,8,6,6
135203,"BE","Belgium","female",26,2,3,3,7,8,4,4,6,NA
135205,"BE","Belgium","male",67,2,7,2,2,1,1,0,1,1
135207,"BE","Belgium","male",81,3,3,5,4,7,3,0,0,5
135208,"BE","Belgium","female",52,1,8,3,3,3,3,3,4,4
135209,"BE","Belgium","male",20,2,8,7,5,6,5,6,7,7
135304,"BE","Belgium","female",63,1,5,6,8,8,6,6,8,6
135305,"BE","Belgium","male",16,NA,NA,1,0,10,0,0,4,10
135306,"BE","Belgium","male",55,1,9,6,8,8,5,6,6,6
135307,"BE","Belgium","male",35,1,8,5,9,8,3,1,5,3
135401,"BE","Belgium","female",32,3,7,4,5,4,2,0,2,5
135404,"BE","Belgium",NA,76,3,2,NA,3,7,1,1,0,NA
135406,"BE","Belgium",NA,58,2,4,9,6,8,5,3,6,9
135407,"BE","Belgium","male",17,1,NA,7,5,6,4,4,2,8
135501,"BE","Belgium","female",69,2,5,4,7,7,2,2,4,7
135503,"BE","Belgium","male",35,4,2,0,0,0,0,0,0,2
135506,"BE","Belgium","male",26,4,2,0,5,3,0,0,4,4
135509,"BE","Belgium","female",81,2,4,6,7,5,2,3,3,2
135602,"BE","Belgium","male",53,3,6,2,0,5,0,0,5,7
135604,"BE","Belgium","female",46,3,NA,9,5,5,8,6,9,5
135605,"BE","Belgium","male",23,4,1,8,8,7,3,2,8,2
1,"CH","Switzerland","male",63,3,2,8,8,8,4,4,0,5
3,"CH","Switzerland","male",37,2,3,7,9,8,6,7,8,8
5,"CH","Switzerland","male",69,1,7,8,7,8,8,7,6,5
9,"CH","Switzerland","male",51,3,7,7,8,9,5,5,4,7
10,"CH","Switzerland","female",27,2,5,5,6,5,5,5,6,5
12,"CH","Switzerland","male",45,2,4,9,10,9,6,6,2,0
14,"CH","Switzerland","male",44,1,10,10,9,8,7,7,5,5
15,"CH","Switzerland",NA,35,1,8,6,7,8,2,2,0,0
16,"CH","Switzerland","female",62,3,3,NA,5,7,0,0,0,0
22,"CH","Switzerland",NA,75,1,NA,5,3,10,5,5,4,4
25,"CH","Switzerland",NA,30,3,NA,8,6,9,4,4,5,5
26,"CH","Switzerland","female",49,2,4,8,8,8,6,6,NA,NA
28,"CH","Switzerland","male",51,1,9,8,7,4,7,7,5,5
29,"CH","Switzerland","female",32,2,5,6,8,4,6,6,4,4
30,"CH","Switzerland","female",60,3,2,7,7,8,3,5,2,2
34,"CH","Switzerland","female",86,2,6,8,8,7,8,5,6,6
36,"CH","Switzerland","female",31,1,4,7,5,5,2,2,4,5
40,"CH","Switzerland","male",75,2,4,3,7,8,2,2,3,NA
41,"CH","Switzerland","male",30,2,6,3,10,2,0,0,5,0
46,"CH","Switzerland","female",26,3,4,5,0,0,0,0,0,5
50,"CH","Switzerland","male",52,2,NA,5,7,8,NA,NA,8,8
51,"CH","Switzerland",NA,65,1,5,5,6,8,6,6,NA,NA
52,"CH","Switzerland","male",35,2,NA,9,9,9,6,6,9,8
53,"CH","Switzerland","male",67,1,6,7,6,6,4,6,7,7
55,"CH","Switzerland","male",49,2,9,6,7,8,4,5,4,2
56,"CH","Switzerland","male",43,2,6,6,9,9,4,4,3,8
57,"CH","Switzerland","female",50,1,9,6,7,5,7,6,5,7
58,"CH","Switzerland","male",85,2,2,8,8,8,5,5,NA,7
60,"CH","Switzerland","male",69,3,4,5,8,7,5,3,5,6
65,"CH","Switzerland","female",38,1,8,6,7,8,6,7,5,5
66,"CH","Switzerland",NA,40,3,1,NA,6,8,8,NA,4,8
68,"CH","Switzerland",NA,26,2,7,NA,NA,NA,NA,NA,NA,NA
69,"CH","Switzerland","male",56,1,8,7,6,8,5,4,4,6
70,"CH","Switzerland","male",26,NA,NA,7,6,5,4,6,5,5
71,"CH","Switzerland",NA,81,3,1,8,10,10,3,3,10,10
73,"CH","Switzerland","male",60,2,5,10,10,10,8,8,7,6
74,"CH","Switzerland",NA,44,4,3,10,NA,10,5,5,10,10
75,"CH","Switzerland",NA,34,2,NA,10,10,10,10,8,NA,8
76,"CH","Switzerland","male",22,2,1,8,8,8,6,5,8,9
77,"CH","Switzerland","female",42,1,3,8,8,9,8,6,8,3
79,"CH","Switzerland","male",54,1,10,7,8,8,7,6,5,6
81,"CH","Switzerland","female",35,1,10,8,5,7,7,7,NA,4
82,"CH","Switzerland","male",29,2,5,6,7,6,6,6,7,7
84,"CH","Switzerland","male",33,3,4,9,NA,10,5,8,0,0
86,"CH","Switzerland","male",17,1,NA,8,7,9,5,5,4,6
87,"CH","Switzerland",NA,44,3,4,NA,3,7,0,0,NA,NA
88,"CH","Switzerland","female",49,2,NA,NA,8,10,6,6,7,7
89,"CH","Switzerland","female",31,2,3,8,9,10,8,8,8,9
90,"CH","Switzerland","female",16,2,NA,8,5,8,8,7,5,6
95,"CH","Switzerland","female",56,1,NA,8,5,7,7,6,6,4
96,"CH","Switzerland","female",35,2,7,6,8,8,4,NA,5,5
98,"CH","Switzerland","male",57,3,NA,5,3,5,4,5,3,NA
102,"CH","Switzerland","female",64,2,NA,1,1,6,0,0,2,2
104,"CH","Switzerland","male",47,1,10,7,8,9,6,6,3,5
105,"CH","Switzerland","male",55,2,NA,7,8,8,8,6,4,6
108,"CH","Switzerland","male",24,1,10,5,7,7,3,5,5,5
111,"CH","Switzerland","male",28,1,6,7,5,5,3,3,NA,7
112,"CH","Switzerland","female",90,3,2,5,5,5,4,4,NA,8
116,"CH","Switzerland","male",22,1,NA,7,10,8,8,7,6,3
117,"CH","Switzerland","female",32,2,6,6,8,8,5,5,7,8
118,"CH","Switzerland","male",52,2,9,8,8,9,5,5,3,4
119,"CH","Switzerland","male",69,2,5,6,7,6,6,6,5,5
120,"CH","Switzerland","female",17,3,NA,10,6,10,5,4,9,7
121,"CH","Switzerland","female",84,2,3,8,8,8,5,5,NA,NA
125,"CH","Switzerland","male",37,2,5,7,7,8,7,7,5,7
126,"CH","Switzerland","male",59,3,6,7,9,8,6,5,5,6
129,"CH","Switzerland","male",62,3,2,7,4,8,8,5,0,5
130,"CH","Switzerland","female",74,1,5,7,7,8,6,4,2,4
133,"CH","Switzerland","male",63,2,2,8,8,7,6,5,5,4
135,"CH","Switzerland","female",46,3,2,6,6,8,3,3,3,5
137,"CH","Switzerland","male",19,1,NA,9,9,10,8,8,6,9
147,"CH","Switzerland","female",64,1,9,3,6,6,2,2,3,6
148,"CH","Switzerland","female",36,3,1,8,5,7,3,3,3,3
149,"CH","Switzerland","female",29,1,5,8,8,8,6,6,4,5
150,"CH","Switzerland","female",35,1,4,NA,4,7,1,2,2,1
155,"CH","Switzerland","male",41,2,4,3,6,4,3,5,6,4
156,"CH","Switzerland","female",24,1,8,5,3,3,2,5,5,7
157,"CH","Switzerland",NA,89,3,2,5,NA,8,NA,NA,NA,NA
158,"CH","Switzerland","female",47,2,7,3,2,5,5,4,3,5
161,"CH","Switzerland","female",18,2,6,7,8,6,6,6,6,6
162,"CH","Switzerland","female",52,3,NA,6,8,8,6,8,6,4
164,"CH","Switzerland","male",31,2,7,10,8,10,8,8,5,8
167,"CH","Switzerland","male",39,1,10,6,5,5,5,5,6,6
168,"CH","Switzerland","female",25,1,5,NA,6,6,5,6,6,7
169,"CH","Switzerland",NA,61,3,NA,8,10,3,6,6,3,3
170,"CH","Switzerland","male",92,2,1,7,5,8,6,5,5,4
171,"CH","Switzerland",NA,32,2,4,8,10,10,NA,NA,NA,10
177,"CH","Switzerland","female",30,1,10,8,10,8,7,6,6,5
179,"CH","Switzerland",NA,71,4,1,10,10,10,10,9,10,10
180,"CH","Switzerland","male",36,1,5,6,7,7,6,7,0,0
181,"CH","Switzerland","female",72,2,7,3,5,6,3,2,3,6
184,"CH","Switzerland","male",38,2,3,8,8,5,5,5,5,7
185,"CH","Switzerland","male",31,2,4,8,8,9,9,6,5,8
186,"CH","Switzerland","male",53,4,3,7,8,10,6,7,8,10
187,"CH","Switzerland","female",86,2,2,8,8,8,7,NA,6,6
188,"CH","Switzerland","female",17,1,NA,7,7,8,6,7,7,8
192,"CH","Switzerland","female",64,1,4,5,7,7,4,4,4,6
193,"CH","Switzerland","female",19,1,9,5,4,7,4,5,4,5
197,"CH","Switzerland","male",70,1,6,5,6,7,6,5,5,6
199,"CH","Switzerland","female",21,2,4,5,7,7,5,5,5,5
200,"CH","Switzerland","female",78,3,NA,6,6,9,7,7,NA,NA
206,"CH","Switzerland","female",29,1,7,7,7,8,8,8,6,6
210,"CH","Switzerland","female",47,1,4,7,8,10,5,5,7,7
212,"CH","Switzerland","male",53,2,4,5,10,9,6,5,4,10
216,"CH","Switzerland","male",49,3,4,9,8,9,8,7,6,4
217,"CH","Switzerland",NA,29,2,3,10,10,10,9,8,10,10
218,"CH","Switzerland","male",75,2,7,6,6,8,4,2,4,4
219,"CH","Switzerland",NA,89,2,1,10,10,10,8,8,3,5
220,"CH","Switzerland","male",41,1,8,8,7,7,5,4,4,5
222,"CH","Switzerland",NA,17,1,5,7,4,7,4,4,5,7
223,"CH","Switzerland","male",36,2,3,9,8,7,7,6,5,5
224,"CH","Switzerland",NA,46,3,3,9,9,9,6,6,4,4
230,"CH","Switzerland",NA,58,3,9,10,10,10,10,6,8,6
231,"CH","Switzerland","female",55,2,5,7,7,7,4,5,2,3
232,"CH","Switzerland",NA,53,2,7,5,7,8,4,4,5,4
240,"CH","Switzerland","female",68,2,1,5,5,5,5,5,3,3
242,"CH","Switzerland","female",62,1,9,8,9,8,7,8,8,8
246,"CH","Switzerland","male",19,3,7,5,7,5,4,5,6,7
249,"CH","Switzerland","female",60,2,4,10,8,5,10,6,3,5
251,"CH","Switzerland","male",33,2,4,0,3,0,5,5,3,0
257,"CH","Switzerland","female",69,2,4,6,6,8,4,3,NA,7
258,"CH","Switzerland","female",65,1,7,5,7,7,3,3,NA,6
260,"CH","Switzerland","male",22,1,10,5,7,4,3,3,5,5
261,"CH","Switzerland","female",18,2,6,6,5,5,5,7,7,7
268,"CH","Switzerland",NA,19,3,4,6,3,5,2,4,5,0
270,"CH","Switzerland","male",80,3,5,8,10,3,3,2,6,7
271,"CH","Switzerland","male",67,1,9,6,3,5,2,2,0,0
273,"CH","Switzerland","female",69,1,9,6,7,7,5,3,6,6
274,"CH","Switzerland","male",71,2,3,3,0,3,0,0,0,0
279,"CH","Switzerland","male",56,2,NA,9,10,9,9,5,9,9
283,"CH","Switzerland","female",34,2,8,8,6,6,2,2,2,5
284,"CH","Switzerland","male",58,1,9,8,8,8,6,6,4,6
287,"CH","Switzerland","female",46,2,8,10,5,5,3,1,4,4
288,"CH","Switzerland","female",16,3,NA,4,1,0,0,1,1,NA
292,"CH","Switzerland","female",70,2,4,6,4,8,6,5,5,6
294,"CH","Switzerland","male",43,1,10,8,8,5,8,8,5,8
295,"CH","Switzerland","male",49,2,6,3,5,8,0,0,0,6
297,"CH","Switzerland","male",70,2,9,5,5,5,3,2,2,1
301,"CH","Switzerland","female",65,1,6,8,10,10,7,5,6,6
303,"CH","Switzerland","female",28,NA,9,4,8,8,3,1,0,3
308,"CH","Switzerland","male",25,1,4,8,7,8,8,5,5,5
316,"CH","Switzerland","female",49,2,6,6,4,6,6,6,6,6
317,"CH","Switzerland","female",30,1,5,6,6,8,5,5,4,6
318,"CH","Switzerland","female",55,2,5,0,4,0,0,0,0,0
320,"CH","Switzerland","female",48,2,10,5,5,6,0,0,5,7
322,"CH","Switzerland","male",20,1,NA,8,7,8,5,4,7,7
323,"CH","Switzerland",NA,46,1,6,3,5,2,0,1,0,1
324,"CH","Switzerland","female",21,2,NA,5,5,8,5,5,5,5
328,"CH","Switzerland","female",51,2,7,8,6,7,6,5,5,7
330,"CH","Switzerland","female",64,3,3,10,10,10,10,0,10,10
332,"CH","Switzerland",NA,27,2,NA,8,9,8,3,2,NA,5
333,"CH","Switzerland","male",34,1,6,8,7,9,7,7,6,7
334,"CH","Switzerland","female",27,1,9,NA,8,8,3,4,7,6
336,"CH","Switzerland",NA,58,2,1,5,7,7,5,5,5,4
