"","country","period","gdp_growth","aid","policy","gdp_pr_capita","ethnic_frac","assasinations","sub_saharan_africa","fast_growing_east_asia","institutional_quality","m2_gdp_lagged"
"1070","SLE","6"," -0.4612152",2.2669821,-0.1269212,881,0.77,0,"  1","  0",5.416667,27.335979
"1071","SLE","7"," -1.0371190",2.250262,0.1849616,901,0.77,0,"  1","  0",5.416667,20.281231
"1074","SLV","2","  1.3067690",0.36283,1.2151999,1810,0.17,0,"  0","  0",2.583333,22.6415
"1075","SLV","3","  1.9624510",0.2959988,1.103682,1985,0.17,1.25,"  0","  0",2.583333,26.06148
"1076","SLV","4"," -6.3899622",0.7715114,0.8461943,2330,0.17,5.5,"  0","  0",2.583333,29.37458
"1077","SLV","5"," -1.7541050",3.071244,0.8291903,1744,0.17,5,"  0","  0",2.583333,29.769291
"1078","SLV","6"," -0.4705314",3.8296549,1.477662,1813,0.17,1.25,"  0","  0",2.583333,34.081421
"1079","SLV","7","  3.4979551",2.860043,3.067255,1824,0.17,3.25,"  0","  0",2.583333,28.536791
"1082","SOM","2","  1.0999860",1.865378,1.251217,921,0.08,0,"  1","  0",3.733333,NA
"1083","SOM","3","  3.8879330",4.1901131,0.8817285,602,0.08,0,"  1","  0",3.733333,20.31658
"1084","SOM","4"," -2.6918240",4.690887,0.2928199,921,0.08,0,"  1","  0",3.733333,24.514151
